Diệu Phúc - 141 Nguyễn Văn Cừ,"141 Nguyễn Văn Cừ, P. Tân An, TP. Cần Thơ",POINT (105.76002021533951 10.038411609557924),CPS-CTH-TAN-141NVC
Diệu Phúc - 288 Đường 3/2,"288 Đường 3/2, P. 12, Q. 10, TP. HCM",POINT (106.6719393 10.7705584),CPS-HCM-Q10-288BTH
Diệu Phúc - 125 Lê Văn Việt,"125 Lê Văn Việt, P. Hiệp Phú, Q. 9, TP. HCM",POINT (106.7782841 10.8463535),CPS-HCM-Q09-125LVV
Diệu Phúc - 56D Phạm Thái Bường,"56D Phạm Thái Bường, Khóm 1, P.4, TP. Vĩnh Long",POINT (105.9772978 10.245455503129254),CPS-VLO-VLO-56DPTB
Diệu Phúc - Số 01 Hòn Chồng,"Số 01 Hòn Chồng, P. Vĩnh Phước, TP. Nha Trang, Khánh Hòa",POINT (109.1982587 12.274660947623437),CPS-KHO-BNT-1HC
Điện Thoại Vui HCM - 1075 Hậu Giang,"1075 Hậu Giang, P.11, Q.6",POINT (106.6241383 10.7452687),
Điện Thoại Vui HCM - 256A Ba Cu,"256A Ba Cu, Phường 4, TP. Vũng Tàu",POINT (107.07859491408793 10.351204859212237),
Điện Thoại Vui HCM - 34 Võ Văn Ngân,"34 Võ Văn Ngân, P. Trường Thọ, Q. Thủ Đức",POINT (106.756682 10.8510901),
Điện Thoại Vui HCM - Điện Thoại Vui 383 Điện Biên Phủ,"Điện Thoại Vui 383 Điện Biên Phủ, P. Thạnh Mỹ Tây, TP. HCM",POINT (106.7120346269833 10.802019727793093),
Điện Thoại Vui HN - 310 Nguyễn Trãi,"310 Nguyễn Trãi, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội",POINT (105.79611904232918 20.987128621698975),
HTV - 133 Thái Hà,"133 Thái Hà, P. Trung Liệt, Q, Đống Đa, Hà Nội",POINT (105.8192832 21.0132935),CPS-HNO-DDA-133TH
Điện Thoại Vui HCM - 17 Phan Văn Hớn,"17 Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Thành phố Hồ Chí Minh",POINT (106.61668629325351 10.829185266640577),CPS-HCM-Q12-17PVH
Điện Thoại Vui HCM - 136 Nguyễn Thái Học,"136 Nguyễn Thái Học, Phường Phạm Ngũ Lão, Quận 1",POINT (106.6950628 10.7692011),
Điện Thoại Vui HCM - 250 Hoàng Văn Thụ,"250 Hoàng Văn Thụ, P. 4, Q. Tân Bình",POINT (106.6597139 10.7993048),
Điện Thoại Vui HN - 516 Bạch Mai,"516 Bạch Mai, P.Trương Định, Q.Hai Bà Trưng, Hà Nội",POINT (105.84994157116512 20.997094135528602),CPS-HNO-HBT-516BM
