Điện Máy Xanh - Điện máy Xanh Xã Bình Mỹ,"Điện máy Xanh Xã Bình Mỹ, Tỉnh An Giang, Việt Nam",POINT (105.26676940917969 10.556143760681152),15906
Điện Máy Xanh - Điện máy Xanh Xã Kim Long,"Điện máy Xanh Xã Kim Long, Thành phố Hồ Chí Minh, Việt Nam",POINT (107.23983764648438 10.721054077148438),8954
Điện Máy Xanh - Điện máy Xanh Ấp Tân Khánh,"Điện máy Xanh Ấp Tân Khánh, Xã Khánh Bình, Tỉnh An Giang, Việt Nam",POINT (105.08195495605469 10.95190715789795),5322
Điện Máy Xanh - Điện máy Xanh Số 1572 Quốc lộ 91C Ấp Đồng Ky,"Điện máy Xanh Số 1572 Quốc lộ 91C Ấp Đồng Ky, Xã Nhơn Hội, Tỉnh An Giang, Việt Nam",POINT (105.08255004882812 10.916360855102539),2742
Điện Máy Xanh - Điện máy Xanh Thửa đất số 227 và 228,"Điện máy Xanh Thửa đất số 227 và 228, tờ bản đồ số 2, Xã Khánh Bình, Tỉnh An Giang, Việt Nam",POINT (105.11214447021484 10.959577560424805),10730
Điện Máy Xanh - Điện máy Xanh ấp Tắc Trúc,"Điện máy Xanh ấp Tắc Trúc, Xã Nhơn Hội, Tỉnh An Giang, Việt Nam",POINT (105.04104614257812 10.892644882202148),12278
Điện Máy Xanh - Điện máy Xanh Ấp Thị,"Điện máy Xanh Ấp Thị, Xã Cù Lao Giêng, Tỉnh An Giang, Việt Nam",POINT (105.556396484375 10.493230819702148),9267
Điện Máy Xanh - Điện máy Xanh Số 17A Nguyễn Văn Thoại,"Điện máy Xanh Số 17A Nguyễn Văn Thoại, Phường Châu Đốc, Tỉnh An Giang, Việt Nam",POINT (105.11770629882812 10.709132194519043),899
Điện Máy Xanh - Điện máy Xanh Quốc lộ 91,"Điện máy Xanh Quốc lộ 91, Tân Lộ Kiều Lương, Phường Vĩnh Tế, Tỉnh An Giang, Việt Nam",POINT (105.0840072631836 10.683416366577148),2056
Điện Máy Xanh - Điện máy Xanh Xã An Cư,"Điện máy Xanh Xã An Cư, Tỉnh An Giang, Việt Nam",POINT (105.0110855102539 10.577402114868164),10518
Điện Máy Xanh - Điện máy Xanh Ấp Mỹ Thiện,"Điện máy Xanh Ấp Mỹ Thiện, Xã Mỹ Đức, Tỉnh An Giang, Việt Nam",POINT (105.19038391113281 10.660988807678223),7962
Thế Giới Di Động - Thế giới di động Tổ 1,"Thế giới di động Tổ 1, Khóm Châu Long 1, Phường Châu Đốc, Tỉnh An Giang, Việt Nam",POINT (105.1324691772461 10.703032493591309),680
Thế Giới Di Động - Thế giới di động 104 Thủ Khoa Nghĩa (ngay ngã tư cầu Cồn Tiên - cầu Vĩnh Ngươn),"Thế giới di động 104 Thủ Khoa Nghĩa (ngay ngã tư cầu Cồn Tiên - cầu Vĩnh Ngươn), Phường Châu Đốc, Tỉnh An Giang, Việt Nam",POINT (105.113037109375 10.714167594909668),2162
Điện Máy Xanh - Điện máy Xanh Số 321 Tổ 16 Quốc lộ 91,"Điện máy Xanh Số 321 Tổ 16 Quốc lộ 91, Thị Trấn Cái Dầu, Huyện Châu Phú, Tỉnh An Giang, Việt Nam",POINT (105.23735046386719 10.574761390686035),2758
Điện Máy Xanh - Điện máy Xanh Ấp Bình Hòa,"Điện máy Xanh Ấp Bình Hòa, Xã Bình Mỹ, Tỉnh An Giang, Việt Nam",POINT (105.32157897949219 10.516284942626953),12499
